regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,obitosAcumulado,Recuperadosnovos,emAcompanhamentoNovos
Nordeste,PE,,26,,,,2020-03-17,12,9557071.0,16,0,,
Nordeste,PE,,26,,,,2020-03-18,12,9557071.0,16,0,,
Nordeste,PE,,26,,,,2020-03-19,12,9557071.0,28,0,,
Nordeste,PE,,26,,,,2020-03-20,12,9557071.0,30,0,,
Nordeste,PE,,26,,,,2020-03-21,12,9557071.0,30,0,,
Nordeste,PE,,26,,,,2020-03-22,13,9557071.0,37,0,,
Nordeste,PE,,26,,,,2020-03-23,13,9557071.0,42,0,,
Nordeste,PE,,26,,,,2020-03-24,13,9557071.0,42,0,,
Nordeste,PE,,26,,,,2020-03-25,13,9557071.0,46,1,,
Nordeste,PE,,26,,,,2020-03-26,13,9557071.0,48,3,,
Nordeste,PE,,26,,,,2020-03-27,13,9557071.0,56,4,,
Nordeste,PE,,26,,,,2020-03-28,13,9557071.0,68,5,,
Nordeste,PE,,26,,,,2020-03-29,14,9557071.0,73,5,,
Nordeste,PE,,26,,,,2020-03-30,14,9557071.0,78,6,,
Nordeste,PE,,26,,,,2020-03-31,14,9557071.0,87,6,,
Nordeste,PE,,26,,,,2020-04-01,14,9557071.0,95,8,,
Nordeste,PE,,26,,,,2020-04-02,14,9557071.0,106,9,,
Nordeste,PE,,26,,,,2020-04-03,14,9557071.0,136,10,,
Nordeste,PE,,26,,,,2020-04-04,14,9557071.0,176,14,,
Nordeste,PE,,26,,,,2020-04-05,15,9557071.0,201,21,,
Nordeste,PE,,26,,,,2020-04-06,15,9557071.0,223,30,,
Nordeste,PE,,26,,,,2020-04-07,15,9557071.0,352,34,,
Nordeste,PE,,26,,,,2020-04-08,15,9557071.0,401,46,,
Nordeste,PE,,26,,,,2020-04-09,15,9557071.0,555,56,,
Nordeste,PE,,26,,,,2020-04-10,15,9557071.0,684,65,,
Nordeste,PE,,26,,,,2020-04-11,15,9557071.0,816,72,,
Nordeste,PE,,26,,,,2020-04-12,16,9557071.0,960,85,,
Nordeste,PE,,26,,,,2020-04-13,16,9557071.0,1154,102,,
Nordeste,PE,,26,,,,2020-04-14,16,9557071.0,1284,115,,
Nordeste,PE,,26,,,,2020-04-15,16,9557071.0,1484,143,,
Nordeste,PE,,26,,,,2020-04-16,16,9557071.0,1683,160,,
Nordeste,PE,,26,,,,2020-04-17,16,9557071.0,2006,186,,
Nordeste,PE,,26,,,,2020-04-18,16,9557071.0,2193,205,,
Nordeste,PE,,26,,,,2020-04-19,17,9557071.0,2459,216,,
Nordeste,PE,,26,,,,2020-04-20,17,9557071.0,2690,234,,
Nordeste,PE,,26,,,,2020-04-21,17,9557071.0,2908,260,,
Nordeste,PE,,26,,,,2020-04-22,17,9557071.0,3298,282,,
Nordeste,PE,,26,,,,2020-04-23,17,9557071.0,3519,312,,
Nordeste,PE,,26,,,,2020-04-24,17,9557071.0,3999,352,,
Nordeste,PE,,26,,,,2020-04-25,17,9557071.0,4507,381,,
Nordeste,PE,,26,,,,2020-04-26,18,9557071.0,4898,415,,
Nordeste,PE,,26,,,,2020-04-27,18,9557071.0,5358,450,,
Nordeste,PE,,26,,,,2020-04-28,18,9557071.0,5724,508,,
Nordeste,PE,,26,,,,2020-04-29,18,9557071.0,6194,538,,
Nordeste,PE,,26,,,,2020-04-30,18,9557071.0,6876,565,,
Nordeste,PE,,26,,,,2020-05-01,18,9557071.0,7334,603,,
Nordeste,PE,,26,,,,2020-05-02,18,9557071.0,8145,628,,
Nordeste,PE,,26,,,,2020-05-03,19,9557071.0,8643,652,,
Nordeste,PE,,26,,,,2020-05-04,19,9557071.0,8863,691,,
Nordeste,PE,,26,,,,2020-05-05,19,9557071.0,9325,749,,
Nordeste,PE,,26,,,,2020-05-06,19,9557071.0,9881,803,,
Nordeste,PE,,26,,,,2020-05-07,19,9557071.0,10824,845,,
Nordeste,PE,,26,,,,2020-05-08,19,9557071.0,11587,927,,
Nordeste,PE,,26,,,,2020-05-09,19,9557071.0,12470,972,,
Nordeste,PE,,26,,,,2020-05-10,20,9557071.0,13275,1047,,
Nordeste,PE,,26,,,,2020-05-11,20,9557071.0,13768,1087,,
Nordeste,PE,,26,,,,2020-05-12,20,9557071.0,14309,1157,,
Nordeste,PE,,26,,,,2020-05-13,20,9557071.0,14901,1224,,
Nordeste,PE,,26,,,,2020-05-14,20,9557071.0,15588,1298,,
Nordeste,PE,,26,,,,2020-05-15,20,9557071.0,16209,1381,,
Nordeste,PE,,26,,,,2020-05-16,20,9557071.0,18488,1461,,
Nordeste,PE,,26,,,,2020-05-17,21,9557071.0,19452,1516,,
Nordeste,PE,,26,,,,2020-05-18,21,9557071.0,20094,1640,,
Nordeste,PE,,26,,,,2020-05-19,21,9557071.0,21242,1741,,
Nordeste,PE,,26,,,,2020-05-20,21,9557071.0,22560,1834,,
Nordeste,PE,,26,,,,2020-05-21,21,9557071.0,23911,1925,,
Nordeste,PE,,26,,,,2020-05-22,21,9557071.0,25760,2057,,
Nordeste,PE,,26,,,,2020-05-23,21,9557071.0,26786,2144,,
Nordeste,PE,,26,,,,2020-05-24,22,9557071.0,27759,2200,,
Nordeste,AL,,27,,,,2020-03-08,11,3337357.0,1,0,,
Nordeste,AL,,27,,,,2020-03-09,11,3337357.0,1,0,,
Nordeste,AL,,27,,,,2020-03-10,11,3337357.0,1,0,,
Nordeste,AL,,27,,,,2020-03-11,11,3337357.0,1,0,,
Nordeste,AL,,27,,,,2020-03-12,11,3337357.0,1,0,,
Nordeste,AL,,27,,,,2020-03-13,11,3337357.0,1,0,,
Nordeste,AL,,27,,,,2020-03-14,11,3337357.0,1,0,,
Nordeste,AL,,27,,,,2020-03-15,12,3337357.0,1,0,,
Nordeste,AL,,27,,,,2020-03-16,12,3337357.0,1,0,,
Nordeste,AL,,27,,,,2020-03-17,12,3337357.0,1,0,,
Nordeste,AL,,27,,,,2020-03-18,12,3337357.0,1,0,,
Nordeste,AL,,27,,,,2020-03-19,12,3337357.0,4,0,,
Nordeste,AL,,27,,,,2020-03-20,12,3337357.0,5,0,,
Nordeste,AL,,27,,,,2020-03-21,12,3337357.0,7,0,,
Nordeste,AL,,27,,,,2020-03-22,13,3337357.0,7,0,,
Nordeste,AL,,27,,,,2020-03-23,13,3337357.0,7,0,,
Nordeste,AL,,27,,,,2020-03-24,13,3337357.0,9,0,,
Nordeste,AL,,27,,,,2020-03-25,13,3337357.0,11,0,,
Nordeste,AL,,27,,,,2020-03-26,13,3337357.0,11,0,,
Nordeste,AL,,27,,,,2020-03-27,13,3337357.0,11,0,,
Nordeste,AL,,27,,,,2020-03-28,13,3337357.0,14,0,,
Nordeste,AL,,27,,,,2020-03-29,14,3337357.0,17,0,,
Nordeste,AL,,27,,,,2020-03-30,14,3337357.0,17,0,,
Nordeste,AL,,27,,,,2020-03-31,14,3337357.0,18,1,,
Nordeste,AL,,27,,,,2020-04-01,14,3337357.0,18,1,,
Nordeste,AL,,27,,,,2020-04-02,14,3337357.0,18,1,,
Nordeste,AL,,27,,,,2020-04-03,14,3337357.0,22,2,,
Nordeste,AL,,27,,,,2020-04-04,14,3337357.0,23,2,,
Nordeste,AL,,27,,,,2020-04-05,15,3337357.0,28,2,,
Nordeste,AL,,27,,,,2020-04-06,15,3337357.0,31,2,,
Nordeste,AL,,27,,,,2020-04-07,15,3337357.0,32,2,,
Nordeste,AL,,27,,,,2020-04-08,15,3337357.0,37,2,,
Nordeste,AL,,27,,,,2020-04-09,15,3337357.0,37,3,,
Nordeste,AL,,27,,,,2020-04-10,15,3337357.0,45,3,,
Nordeste,AL,,27,,,,2020-04-11,15,3337357.0,48,3,,
Nordeste,AL,,27,,,,2020-04-12,16,3337357.0,48,3,,
Nordeste,AL,,27,,,,2020-04-13,16,3337357.0,50,3,,
Nordeste,AL,,27,,,,2020-04-14,16,3337357.0,72,4,,
Nordeste,AL,,27,,,,2020-04-15,16,3337357.0,82,5,,
Nordeste,AL,,27,,,,2020-04-16,16,3337357.0,89,5,,
Nordeste,AL,,27,,,,2020-04-17,16,3337357.0,110,7,,
Nordeste,AL,,27,,,,2020-04-18,16,3337357.0,132,7,,
Nordeste,AL,,27,,,,2020-04-19,17,3337357.0,159,15,,
Nordeste,AL,,27,,,,2020-04-20,17,3337357.0,171,18,,
Nordeste,AL,,27,,,,2020-04-21,17,3337357.0,210,19,,
Nordeste,AL,,27,,,,2020-04-22,17,3337357.0,243,20,,
